"cty","Name","Fraction_Non-White_in_2010"
"cty22077","Pointe Coupee Parish, LA",0.3971
"cty37047","Columbus County, NC",0.3964
"cty48353","Nolan County, TX",0.396
"cty51550","Chesapeake city, VA",0.3958
"cty20187","Stanton County, KS",0.3955
"cty05093","Mississippi County, AR",0.3953
"cty17003","Alexander County, IL",0.3951
"cty45071","Newberry County, SC",0.3951
"cty13153","Houston County, GA",0.3945
"cty48165","Gaines County, TX",0.3936
"cty48185","Grimes County, TX",0.3936
"cty22045","Iberia Parish, LA",0.3924
"cty13107","Emanuel County, GA",0.3923
"cty51630","Fredericksburg city, VA",0.3922
"cty48183","Gregg County, TX",0.3921
"cty13191","McIntosh County, GA",0.3919
"cty13255","Spalding County, GA",0.3915
"cty05133","Sevier County, AR",0.3894
"cty48311","McMullen County, TX",0.389
